id,terrestrial_date,sol,ls,month,min_temp,pressure
430,2014-01-01,500,70,3,-85.0,897.0
435,2014-01-02,501,70,3,-86.0,898.0
437,2014-01-03,502,71,3,-87.0,898.0
483,2014-01-04,503,71,3,-86.0,897.0
436,2014-01-05,504,72,3,-85.0,895.0
438,2014-01-06,505,72,3,-85.0,895.0
439,2014-01-08,506,73,3,-86.0,894.0
440,2014-01-09,507,73,3,-85.0,894.0
442,2014-01-10,508,73,3,-83.0,893.0
443,2014-01-11,509,74,3,-86.0,895.0
441,2014-01-12,510,74,3,-85.0,892.0
446,2014-01-13,511,75,3,-85.0,892.0
444,2014-01-14,512,75,3,-86.0,890.0
445,2014-01-15,513,76,3,-86.0,889.0
447,2014-01-16,514,76,3,-86.0,888.0
450,2014-01-17,515,77,3,-86.0,888.0
449,2014-01-18,516,77,3,-86.0,888.0
448,2014-01-19,517,77,3,-86.0,885.0
451,2014-01-20,518,78,3,-85.0,885.0
452,2014-01-21,519,78,3,-86.0,884.0
453,2014-01-22,520,79,3,-86.0,884.0
454,2014-01-23,521,79,3,-87.0,882.0
455,2014-01-24,522,80,3,-85.0,881.0
458,2014-01-25,523,80,3,-85.0,881.0
457,2014-01-26,524,81,3,-85.0,880.0
456,2014-01-27,525,81,3,-87.0,878.0
459,2014-01-28,526,82,3,-87.0,878.0
460,2014-01-29,527,82,3,-86.0,877.0
461,2014-01-30,528,82,3,-86.0,876.0
462,2014-01-31,529,83,3,-87.0,875.0
463,2014-02-01,530,83,3,-87.0,873.0
465,2014-02-02,531,84,3,-87.0,872.0
464,2014-02-03,532,84,3,-88.0,872.0
466,2014-02-04,533,85,3,-87.0,871.0
467,2014-02-05,534,85,3,-86.0,869.0
468,2014-02-06,535,86,3,-88.0,868.0
470,2014-02-07,536,86,3,-83.0,867.0
469,2014-02-08,537,86,3,-83.0,865.0
472,2014-02-09,538,87,3,-85.0,865.0
476,2014-02-10,539,87,3,-85.0,864.0
481,2014-02-11,540,88,3,-84.0,862.0
482,2014-02-12,541,88,3,-84.0,861.0
477,2014-02-13,542,89,3,-85.0,859.0
486,2014-02-15,543,89,3,-84.0,858.0
487,2014-02-16,544,90,4,-86.0,857.0
490,2014-02-17,545,90,4,-85.0,856.0
489,2014-02-18,546,91,4,-85.0,855.0
488,2014-02-19,547,91,4,-85.0,853.0
491,2014-02-20,548,91,4,-86.0,852.0
492,2014-02-21,549,92,4,-87.0,851.0
494,2014-02-22,550,92,4,-85.0,850.0
495,2014-02-23,551,93,4,-85.0,848.0
493,2014-02-24,552,93,4,-86.0,847.0
496,2014-02-25,553,94,4,-84.0,845.0
497,2014-02-26,554,94,4,-84.0,843.0
499,2014-02-27,555,95,4,-85.0,843.0
501,2014-02-28,556,95,4,-85.0,842.0
498,2014-03-01,557,96,4,-85.0,840.0
500,2014-03-02,558,96,4,-85.0,839.0
502,2014-03-03,559,96,4,-85.0,838.0
503,2014-03-04,560,97,4,-86.0,836.0
504,2014-03-05,561,97,4,-85.0,835.0
506,2014-03-06,562,98,4,-85.0,834.0
505,2014-03-07,563,98,4,-87.0,833.0
509,2014-03-08,564,99,4,-86.0,831.0
508,2014-03-09,565,99,4,-85.0,830.0
507,2014-03-10,566,100,4,-86.0,829.0
510,2014-03-11,567,100,4,-86.0,827.0
511,2014-03-12,568,101,4,-86.0,825.0
512,2014-03-13,569,101,4,-85.0,825.0
513,2014-03-14,570,102,4,-84.0,823.0
515,2014-03-15,571,102,4,-84.0,821.0
514,2014-03-16,572,102,4,-85.0,820.0
516,2014-03-17,573,103,4,-84.0,819.0
517,2014-03-18,574,103,4,-85.0,817.0
518,2014-03-19,575,104,4,-82.0,816.0
520,2014-03-20,576,104,4,-84.0,815.0
519,2014-03-21,577,105,4,-84.0,813.0
521,2014-03-22,578,105,4,-83.0,812.0
522,2014-03-24,579,106,4,-82.0,811.0
523,2014-03-25,580,106,4,-83.0,810.0
524,2014-03-26,581,107,4,-84.0,808.0
525,2014-03-27,582,107,4,-84.0,807.0
526,2014-03-28,583,108,4,-82.0,806.0
